"","ID","Nome da associação
 (nome sem abreviaturas divulgado na página)","Sigla ou Nome Comercial","Unidade da Federação
 (Estado ou Distrito Federal de localização
 a partir do endereço divulgado na página)","Município 
 (de localização
 a partir do endereço divulgado na página)","Página do Instagram
 (link ou ""não encontrado"")","Site ou página web
 (link ou ""não encontrado"")","Distribuição de óleo à base de cannabis (sim, não ou NI)","Distribuição de pomada/gel/creme à base de cannabis (sim, não ou NI)","Distribuição de produtos específicos para pets à base de cannabis (sim, não ou NI)","Possui algum outro produto para distribuição à base de cannabis? (sim, não ou NI)","Se sim, especifique: (se não, NA)...12","Oferece atendimento médico? (sim, não, NI ou MP)","Oferece assistência jurídica? (sim, não ou NI)","Oferece ""acolhimento""? (sim, não ou NI)","Oferece algum outro tipo de serviço? (sim, não ou NI)","Se sim, especifique: (se não, NA)...17","Fonte da informação
 (FACT; Kaya Mind; Lista dos Advogados; Busca livre na internet)","Pesquisador responsável pelo preenchimento
(Daniel, Luiz, Mariana, Mário, Natalia, Ramon, Rebeca)","Observação"
"233",NA,"ASSOCIACAO BRASILEIRA DE CANNABIS","ABC","Paraná","Santa Tereza do Oeste","não encontrado","https://www.jusbrasil.com.br/nome/abc/cnpj-CW8T_LhmAqM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"234",NA,"ASSOCIACAO CANNABIS MEDICINAL BRASIL","ASSOCIACAO CANNABIS MEDICINAL BRASIL","Paraná","Nova Esperança","não encontrado","https://www.jusbrasil.com.br/nome/associacao-cannabis-medicinal-brasil/cnpj-8vZMicQ69FZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"235",NA,"ASSOCIACAO CULTURAL E DE APOIO CANNABICO DOS CAMPOS GERAIS","Florescer","Paraná","Ponta Grossa","https://www.instagram.com/florescerassociacao/","www.facebook.com/florescerpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"236",NA,"ASSOCIACAO MEDICINAL DE PESQUISA, APOIO E REABILITACAO ONTOLOGICA DA CANNABIS","AMPARO","Paraná","Quitandinha","Não encontrado","https://associacaoamparo.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"237",NA,"ASSOCIACAO BRASILEIRA DE CANNABIS MEDICINAL RL SALUD ABCM","abcmrlsalud","Paraná","Colombo","https://www.instagram.com/abcmrlsalud","https://rlsaludabcm.com.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"238",NA,"ASSOCIACAO BRILHAR DE APOIO A CANNABIS MEDICINAL","ABCMED","Paraná","Curitiba","não encontrado","https://abcmed.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"239",NA,"ASSOCIACAO BRASILEIRA DE PESQUISA E ACESSO A CANNABIS TERAPEUTICA VIDA EM FLOR","ASSOCIACAO VIDA EM FLOR","Paraná","Curitiba","não encontrado","https://www.jusbrasil.com.br/nome/associacao-canabica-vida-em-flor/cnpj-Hr9rqoN1a1Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"240",NA,"INSTITUTO INTERNACIONAL DE PACIENTES DE CANNABIS MEDICINAL","Instituto Sativa Medicinal","Paraná","Curitiba","https://www.instagram.com/institutosativamedicinal/","https://institutosativa.org.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"241",NA,"ASSOCIACAO BRASILEIRA DE USUARIOS DE CANNABIS MEDICINAL","ABUC","Paraná","Curitiba","https://www.instagram.com/abuc.br/","https://www.abuc.com.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"242",NA,"ASSOCIACAO CANABICA UNIDOS EM RAZAO DO AMOR","ACURA","Paraná","Curitiba","https://www.instagram.com/associacaocannabica/","https://acuraong.com.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"243",NA,"FEDERACAO CANABICA","FECAN","Paraná","Alto Paraná","https://www.instagram.com/federacaocanabica/","https://fecan.org.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"244",NA,"Sobre Viver Associacao Canabica","Sobre Viver Associacao Canabica","Paraná","Ponta Grossa","Não encontrado","https://www.jusbrasil.com.br/nome/sobre-viver-associacao-canabica/cnpj-NgH51mtFYgH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"245",NA,"CONSELHO BRASILEIRO PARA O DESENVOLVIMENTO DO CULTIVO, ESTUDOS E INDUSTRIALIZACAO DO CANHAMO E SEUS DERIVADOS","CBD","Goiás","Nerópolis","Não encontrado","https://cnpj.biz/15363027000116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"246",NA,"ASSOCIACAO BEHEMP DE DESENVOLVIMENTO PESQUISA E FOMENTO EM CANNABIS NO BRASIL","Be 4Hope","São Paulo","São Paulo","https://www.instagram.com/be_4hope/","https://be4hope.org/institucional/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",NA,"ASSOCIACAO BRASILEIRA DE CANNABIS MEDICINAL - ABCMEDICINAL","ABCMEDICINAL","São Paulo","Santo André","https://www.instagram.com/abcmedicinalorg/","https://www.abcmedicinal.org/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnytE-5KIKA61VZjBbIaP9aH25slTfsEpFjheb8Xi5YpQ1llaqr8YpkJZpda0_aem_oYqvI0Q5MPSzzHYuZ0pxfA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,"Associação Brasileira de Apoio e Cuidados com Cannabis","ABRACUCA","São Paulo","Bragança Paulista","https://www.instagram.com/abracucacbd/","https://www.abracuca.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,"Associação Cannabica Cultivando o Bem","Cultivando o Bem","São Paulo","Piracaia","https://www.instagram.com/cultivandoobembr/","https://cultivandoobem.com.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",NA,"Acannuba - Associação Cannábica de Ubatuba","Acannuba","São Paulo","Ubatuba","https://www.instagram.com/acannuba/","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,"Centro Regional de Introdução ao Autocultivo de Cannabis Medicinal","Cria Cannabis Medicinal","São Paulo","São Paulo","https://www.instagram.com/cria.cannabis.medicinal/","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,"Associação Brasileira Pet Cannabis","Associação Brasileira Pet Cannabis","São Paulo","São Paulo","https://www.instagram.com/abpetcannabisreserva/","https://abpetcannabis.com.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,"Associação Cannabis Medicinal - Vivabis","Vivabis Medicinal","São Paulo","Cotia","https://www.instagram.com/vivabis_medicinal/","https://www.vivabismedicinal.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",NA,"Humana Associacao de Pacientes de Cannabis Terapeutica","?","São Paulo","São Paulo","Não encontrado","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",NA,"ASSOCIACAO DE DESENVOLVIMENTO E PESQUISA EM CANNABIS NO BRASIL BRASCANN","BRASCANN","São Paulo","Campinas","https://www.instagram.com/_brascann/","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",NA,"Associação de Pesquisa e Estudo da Cannabis Sativa de Assis","APECA","São Paulo","Assis","https://www.instagram.com/apecassis/","https://apecassis.wixsite.com/apeca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",NA,"Associação Sagrada Cannabis Medicinal","Sagrada Cannabis","São Paulo","São Paulo","Não encontrado","https://sagradamedicinal.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",NA,"SEIVATIVA ASSOCIACAO TERAPEUTICA DE ACOLHIMENTO E CANNABIS MEDICINAL","Seivativa","São Paulo","São Paulo","https://www.instagram.com/seivativa","https://seivativa.com.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",NA,"Associação Cannábica e Terapêutica Cuesta Sativa","Cuesta Sativa","São Paulo","Botucatu","https://www.instagram.com/cuestasativa/?hl=pt","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",NA,"THSer - Associação de Cannabis Medicinal","THSer","São Paulo","São Paulo","https://www.instagram.com/thser.associacao/","https://www.thser.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",NA,"Instituto Da Cannabis De Pesquisa Ciências E Tecnologia","Instituto Mães da Cannabis","São Paulo","São Paulo","https://www.instagram.com/maesdacannabis/?hl=pt","https://maesdacannabis.com.br/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnKsFY-5D6IDA0LlEx04lZf6CrPFvFAIDoCtUXGa5YF106G-e1e96SBroTXvY_aem_2B5pKzB3sjsP0P3wV74g4A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",NA,"Associação Brasileira de Pesquisadores e Pacientes de Cannabis","ABRAPPAC","São Paulo","Ilha Solteira","https://www.instagram.com/abrappac/","https://abrappac.com.br/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGn93z9Ppa0oI4OYuloiuq-gzdwtp_UzLHI7azpwhTc2B7aE8FiBCoMhcic2W0_aem_o-4UGUag68pkQXf17yBFNw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",NA,"Associação Inclusão, Diversidade e Cannabis para Animais","ÍNDICA","São Paulo","Atibaia","https://www.instagram.com/inclusao.diversidade.cannabis/","https://associacaoindica.org.br/index.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",NA,"Associação Brasileira de Pacientes de Cannabis Medicinal","ACMJ","São Paulo","Jundiaí","https://www.instagram.com/acmjundiai/","https://acmj.ong/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",NA,"ASSOCIACAO TERAPEUTICA VIVER ITALO PARA CANNABIS MEDICINAL, CANHAMO, FARMACIA VIVA E PICS","Intituto Viver Ítalo","São Paulo","Mogi das Cruzes","https://www.instagram.com/institutoviveritalo/","https://institutoviveritalo.lojavirtualnuvem.com.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",NA,"apotecanna associacao de pacientes de cannabis medicinal",NA,"São Paulo","Campinas","https://www.instagram.com/apotecanna.br/","https://apotecanna.org.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",NA,"Associação Cannábica de Saúde, Cultura, Religião e Indústria - Cultivo Urbano","Cultivo Urbano","São Paulo","São Paulo","https://www.instagram.com/cultivourbanobr/","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",NA,"Associação Floresça de Apoio Terapêutico a Pacientes de Cannabis Medicinal","Associação Floresça","São Paulo","Ribeirão Preto","https://www.instagram.com/floresca_rp/","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",NA,"Associação Paulista de Cannabis Medicinal Raízes","Associação Raízes","São Paulo","Campinas","https://www.instagram.com/associacao.raizes/","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",NA,"Vitoria Cannabis","Vitoria Cannabis","São Paulo","Campinas","Não encontrado","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",NA,"Associação Cannabis Medicinal Brasil","Associação Cannabis Medicinal Brasil","São Paulo","São Carlos","Não encontrado","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",NA,"Associacao Cannabis Medicinal Gnjr","Associacao Cannabis Medicinal Gnjr","São Paulo","São Paulo","Não encontrado","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",NA,"Associação Brasileira de Pacientes de Cannabis Medicinal","ABPCM","São Paulo","São Paulo","Não encontrado","https://www.abpcm.org.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",NA,"Organização Cannabica Verdinho","VOC","São Paulo","Jundiaí","https://www.instagram.com/verdinhovoc/","https://www.verdinho.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",NA,"Associação Sete Med Cannabis E Saúde","Associação Sete Med Cannabis E Saúde","São Paulo","Franca","Não encontrado","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",NA,"Associação Brasileira de Orientação e Assistência Cannabis","Aboa Brasil","São Paulo","São Paulo","https://www.instagram.com/associacao.aboa/","https://associacaoaboa.com.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",NA,"Associação Brasileira de Medicina Cannábica - Medcann Brasil","MEDCANN Brasil","São Paulo","Santo André","https://www.instagram.com/medcannbrasil/","https://www.medcann.org/in%C3%ADcio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",NA,"associacao de pacientes de cannabis medicinal kaingang","associacao de pacientes de cannabis medicinal kaingang","São Paulo","Bauru","Não encontrado","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",NA,"ASSOCIAÇÃO BRASILEIRA PARA INTERVENÇÃO MEDICINAL COM DERIVADOS DA CANNABIS PURA VIDA","Pura Vida","São Paulo","Presidente Prudente","https://www.instagram.com/associacao.puravida/","https://www.apuravida.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
